word,phonetic,tier,frequency,definition_en,definition_zh,definition_zh_tw,definition_ja
detest,di'test,4,16282,v dislike intensely; feel antipathy or aversion towards,"vt. 厌恶, 憎恨","vt. 厭惡, 憎恨","…を『嫌悪する』,ひどくきらう"
dethrone,di'θrәun,4,36609,v. remove a monarch from the throne,"vt. 废黜, 废位赶出","vt. 廢黜, 廢位趕出",〈国王〉を退位させる(高い地位から)〈人〉を引きずり降ろす
detonate,'detәneit,5,12637,v. burst and release energy as through a violent chemical or physical reaction,"vt. 引爆, 使爆炸, 使爆裂; vi. 爆炸, 发爆炸声","vt. 引爆, 使爆炸, 使爆裂; vi. 爆炸, 發爆炸聲",…を爆発させる(explode) / 爆発する
detour,'di:tuә,5,12159,n. a roundabout road (especially one that is used temporarily while a main route is blocked); v. travel via a detour,"n. 绕路, 迂回; v. (使)绕道","n. 繞路, 迂迴; v. (使)繞道","回り道,遠回り / 回り道をする《+『around』(『round』)》 / …に回り道をさせる"
detract,di'trækt,4,14366,v take away a part from; diminish,"vi. 减去, 贬低; vt. 转移, 分散","vi. 減去, 貶低; vt. 轉移, 分散","(名誉・価値などを)落とす,減ずる / (…を)悪く言う,けなす"
detritus,di'traitәs,5,18523,n. loose material (stone fragments and silt etc) that is worn away from rocks,"n. 碎石; [医] 腐质, 碎屑","n. 碎石; [醫] 腐質, 碎屑","(風化・浸食作用などによる)砕石,砕屑(さいせつ)"
devalue,di:'vælju:,4,13869,v. remove the value from; deprive of its value; v. lower the value or quality of,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值; [经] 贬值","vt.vi. 降低...的價值, 貶值, 降低價值, 使(貨幣)貶值; [經] 貶值",=devaluate
develop,di'velәp,1,484,"v. make something new, such as a product or a mental or artistic creation; v. gain through experience; v. be gradually disclosed or unfolded; become manifest; ; v. grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment","vt. 发展, 使发达, 进步, 洗印, 显影; vi. 发展, 生长","vt. 發展, 使發達, 進步, 洗印, 顯影; vi. 發展, 生長","(今まではなかったが)…を『生じさせる』,を現す / …を『発展させる』,伸ばす,成長させる / 〈病気・悪習など〉にだんだん感染する,かかりはじめる,を発病させる / 〈資源など〉を『開発する』 / …を十分に考える,〈議論・主題など〉を展開する / 〈フイルム〉を現像する / 〈ないもの・隠れているものが〉『現れる』,明らかになる / (…から…に)『発展する』,発育する《+『from』+『名』+『into』+『名』》 / 〈フイルムが〉現像される"
deviant,'di:viәnt,5,14570,n a person whose behavior deviates from what is acceptable especially in sexual behavior; s markedly different from an accepted norm,a. 不正常的; n. 不正常的人(或物),a. 不正常的; n. 不正常的人(或物),"(基準から)外れた,逸脱した,異常な / 常軌を逸した物(人),(特に)性欲倒錯者"
deviate,'di:vieit,3,13796,v. turn aside; turn away from; v. be at variance with; be out of line with; v. cause to turn away from a previous or expected course,"vi. 脱离, 偏离; vt. 使偏离; a. 脱离常规的; n. 脱离常规的人","vi. 脫離, 偏離; vt. 使偏離; a. 脫離常規的; n. 脫離常規的人","(…から)それる,外れる《+『from』+『名』》"
device,di'vais,3,1507,n. an instrumentality invented for a particular purpose; n. something in an artistic work designed to achieve a particular effect; n. any clever maneuver; n. any ornamental pattern or design (as in embroidery),"n. 装置, 设计, 策略, 发明物, 设备; [计] 设备; DOS内部命令:该命令要求DOS安装一个设备驱动程序","n. 裝置, 設計, 策略, 發明物, 裝置; [計] 裝置; DOS內部命令:該命令要求DOS安裝一個裝置驅動程式","『工夫』,『案』;《しばしば複数形で》策略 / (…の)『考案物』;装置,仕掛け《+『for』+『名』(do『ing』)》 / (紋章などの)図案,意匠 / (文学的効果を上げるための)工夫された表現"
devil,'devәl,3,4907,n. an evil supernatural being; n. a word used in exclamations of confusion; v. coat or stuff with a spicy paste,"n. 魔鬼; vt. 折磨, 戏弄","n. 魔鬼; vt. 折磨, 戲弄","『悪魔』,悪鬼;《the D-》魔王(Satan) / (悪魔のような)悪人,人非人;(…の)鬼,(悪徳の)権化(ごんげ)《+『of』+『名』》 / 精力家,腕のたっしゃな人 / やつ(fellow),男 / 《俗》《強意語として》 / 《疑問詞の後で》いったいぜんたい / 《強い否定》ぜったい…でない / (また『printer's devil』)印刷屋の使い走り,または見習いの少年 / 《米話》…をいじめる,悩ませる / …を辛く料理する"
devious,'di:viәs,4,18198,s. indirect in departing from the accepted or proper way; misleading; s. characterized by insincerity or deceit; evasive; s. deviating from a straight course,"a. 偏僻的, 迂回的","a. 偏僻的, 迂迴的","{形}遠回りの / ずる賢い / 回りくどい,曲がりくねった,率直でない"
devise,di'vaiz,3,4960,"n. a will disposing of real property; n. (law) a gift of real property by will; v. give by will, especially real property","vt. 设计, 发明, 图谋, 遗赠给; n. 遗赠","vt. 設計, 發明, 圖謀, 遺贈給; n. 遺贈","…を『工夫する』,考案する / (遺言で)〈財産〉を残す"
devoid,di'vɒid,4,9749,s completely wanting or lacking,"a. 全无的, 缺乏的","a. 全無的, 缺乏的","(…が)ない,欠けた《+『of』+『名』》"
devolve,di'vɒlv,5,18123,v. pass on or delegate to another; v. grow worse,"vt. 转移, 下放(权力等), 委托; vi. 被移交","vt. 轉移, 下放(權力等), 委託; vi. 被移交","(…に)〈義務・責任など〉をゆだねる《+『名』+『to』(『on, upon』)+『名』》 / 〈官職・義務・責任・財産などが〉(…に)帰属する,掛かってくる《+『on』(『upon』)+『名』》"
devote,di'vәut,2,3225,v. set aside or apart for a specific purpose or use,"vt. 投入于, 献身","vt. 投入於, 獻身","〈生涯・労力・時間など〉を『ささげる』,あてる:《『devote』+『名』+『to』+『名』(do『ing』)》…に…をささげる"
devoted,di'vәutid,4,5132,s. zealous in devotion or affection; s. (followed by `to') dedicated exclusively to a purpose or use,"a. 投入的, 深爱的","a. 投入的, 深愛的","『献身的な』,忠実な;熱愛している / (神に)ささげられた"
devotee,.devә'ti:,5,12085,n an ardent follower and admirer,"n. 爱好者, 献身者, 虔诚的宗教信徒","n. 愛好者, 獻身者, 虔誠的宗教信徒",(…に)熱中する人;(…の)愛好家《+『of』+『名』》 / (宗教の)帰依者
devotion,di'vәuʃәn,2,6466,n. feelings of ardent love; n. commitment to some purpose; n. (usually plural) religious observance or prayers (usually spoken silently),"n. 热爱, 投入","n. 熱愛, 投入","〈U〉(…への)『深い愛情』《+『to』(『for』)+『名』》 / 〈U〉(…に労力・時間などを)ささげること,(…への)専念,傾倒《+『to』+『名』(do『ing』)》 / 〈U〉(…への)帰依(きえ),信心,信仰《+『to』+『名』》 / 《複数形で》宗教的儀式,勤行(ごんぎょう),祈り"
devour,di'vauә,3,8478,v. destroy completely; v. enjoy avidly; v. eat immoderately; v. eat greedily,"vt. 吞食, 挥霍, 吞没","vt. 吞食, 揮霍, 吞沒","…を『むさぼり食う』,がつがつ食う / 〈疫病・火事・水などが〉…を飲み込むようにして滅ぼす,飲み込む / …をむさぼるように読む(聞き入る,見詰める) / 《しばしば受動態で》〈感情が〉〈人〉をとりこにする"
devout,di'vaut,4,10858,s. deeply religious,"a. 虔诚的, 虔敬的, 诚恳的","a. 虔誠的, 虔敬的, 誠懇的","信心深い,敬虔(けん)な / 《名詞の前にのみ用いて》心からの,熱心な,誠実な / 《名詞的に》《the~;複数扱い》信心深い人々"
dew,dju:,3,14536,n. water that has condensed on a cool surface overnight from water vapor in the air,"n. 露珠, 露水; vt. (用露水)沾湿; vi. 结露水","n. 露珠, 露水; vt. (用露水)沾溼; vi. 結露水",〈U〉露(つゆ)/ =Directed Energy Weapon(レーザーなど指向性エネルギー兵器)
diabetes,daiә'bi:ti:z,5,4089,n. a polygenic disease characterized by abnormally high glucose levels in the blood; any of several metabolic disorders marked by excessive urination and persistent thirst,"n. 糖尿病, 多尿症; [医] 糖尿病; 多尿症","n. 糖尿病, 多尿症; [醫] 糖尿病; 多尿症",糖尿病(尿に糖が異常に出る病気)
diabetic,daiә'betik,4,14324,n. someone who has diabetes; a. of or relating to or causing diabetes; s. suffering from diabetes,a. 糖尿病的; n. 糖尿病患者,a. 糖尿病的; n. 糖尿病患者,糖尿病の / 糖尿病患者
diabolic,daiә'bɔlik,5,39391,s showing the cunning or ingenuity or wickedness typical of a devil; s extremely evil or cruel; expressive of cruelty or befitting hell,"a. 恶魔的, 恶毒的, 凶暴的, 恶魔似的, (非正式)非常可憎的","a. 惡魔的, 惡毒的, 兇暴的, 惡魔似的, (非正式)非常可憎的",悪魔のような
diagnose,'daiәgnәuz,3,3832,v. determine or distinguish the nature of a problem or an illness through a diagnostic analysis; v. subject to a medical analysis,v. 诊断,v. 診斷,〈病気〉を診断する
diagonal,dai'ægәnl,4,12094,n. (geometry) a straight line connecting any two vertices of a polygon that are not adjacent; n. a line or cut across a fabric that is not at right angles to a side of the fabric; n. an oblique line of squares of the same color on a checkerboard; n. (mathematics) a set of entries in a square matrix running diagonally either from the upper left to lower right entry or running from the upper right to lower left entry,"a. 对角线的, 斜的, 斜纹的; n. 对角线, 斜线, 斜列","a. 對角線的, 斜的, 斜紋的; n. 對角線, 斜線, 斜列","対角線の,対角面の / 斜めの;斜め模様の / 対角線,対角面 / 斜線 / 斜め模様"
diagram,'daiәɡræm,2,7324,n. a drawing intended to explain how something works; a drawing showing the relation between the parts; v. make a schematic or technical drawing of that shows interactions among variables or how something is constructed,n. 图表；图解,n. 圖表；圖解,"説明図,略図;図表,予定表,グラフ;図解 / …を図解する,図示する,の図表を作る"
dial,'daiәl,2,6092,n. the face of a timepiece; graduated to show the hours; n. the control on a radio or television set that is used for tuning; n. the circular graduated indicator on various measuring instruments; n. a disc on a telephone that is rotated a fixed distance for each number called,"n. 刻度盘, 钟面, 转盘; v. 拨","n. 刻度盤, 鐘面, 轉盤; v. 撥","(時計の)『文字盤』;(各種計器類の)目盛り盤,指針盤 / (ラジオ・テレビの)『ダイヤル』 / (電話の)ダイヤル / 日時計(sundial) / 〈ラジオ・テレビ〉のダイヤルを回す;〈番組・波長〉にダイヤルを合わせる / 〈電話・番号〉のダイヤルを回す;〈人〉に電話をかける / (電話の)ダイヤルを回す"
dialect,'daiәlekt,3,10722,n. the usage or vocabulary that is characteristic of a specific group of people,"n. 方言, 同源语","n. 方言, 同源語","『方言』,なまり / (ある階級・人種・職業などの)通り言葉"
dialog,'daiәlɒg,3,16198,n a conversation between two persons; n the lines spoken by characters in drama or fiction; n a literary composition in the form of a conversation between two people,"n. 会话, 对话; [计] 对话","n. 會話, 對話; [計] 對話","対話,会話,問答 / 対話体;(文学作品の)会話の部分,対話体の文学作品"
dialogue,'daiәlɒg,1,2794,n. a conversation between two persons; n. the lines spoken by characters in drama or fiction; n. a literary composition in the form of a conversation between two people,n. 对话; vi. 对话; vt. 用对话表达,n. 對話; vi. 對話; vt. 用對話表達,"対話,会話,問答 / 対話体;(文学作品の)会話の部分,対話体の文学作品"
dialysis,dai'ælisis,4,14934,n. separation of substances in solution by means of their unequal diffusion through semipermeable membranes,"n. 透析, 渗析; [化] 渗析; 透析","n. 透析, 滲析; [化] 滲析; 透析",透析(コロイド溶液を半透膜で分離すること)
diameter,dai'æmitә,3,5253,n. the length of a straight line passing through the center of a circle and connecting two points on the circumference; n. a straight line connecting the center of a circle with two points on its perimeter (or the center of a sphere with two points on its surface),"n. 直径; [医] 直经, 径","n. 直徑; [醫] 直經, 徑",〈C〉『直径』
diamond,'daiәmәnd,2,4044,n. a transparent piece of diamond that has been cut and polished and is valued as a precious gem; n. very hard native crystalline carbon valued as a gem; n. a playing card in the minor suit that has one or more red rhombuses on it,"n. 钻石, 菱形; [计] 菱形","n. 鑽石, 菱形; [計] 菱形","『ダイヤモンド』,ダイヤ,金剛石 / ガラス切り / 菱(ひし)形[のもの] / (カードの)ダイヤの札 / (野球の)内野;野球場 / ダイヤモンド製の;ダイヤモンド入りの / ダイヤモンド形の / ダイヤモンド記念の(結婚記念日などが75回目,または60回目)"
diaper,'daiәpә,3,7274,n. garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement; n. a fabric (usually cotton or linen) with a distinctive woven pattern of small repeated figures,"n. 尿布; [医] 尿布, 兜布","n. 尿布; [醫] 尿布, 兜布","〈C〉《米》おしめ,おむつ(《英》nappy, napkin) / 〈U〉菱形模様;菱形地紋の麻布(タオル・ナプキン用) / 〈赤ん坊〉におむつを当てる"
diarrhea,",daiә'riә",4,10522,n. frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor,n. 腹泻; [医] 腹泻,n. 腹瀉; [醫] 腹瀉,下痢
diary,'daiәri,1,4334,n. a daily written record of (usually personal) experiences and observations; n. a personal journal (as a physical object),n. 日记; [经] 日记簿,n. 日記; [經] 日記簿,"『日記』,日記帳,日誌"
diatribe,'daiәtraib,5,19083,n thunderous verbal attack,"n. 抨击, 谴责","n. 抨擊, 譴責","酷評,痛烈な非難"
dice,dais,3,6854,v. play dice,n. 骰子; vt. 切成方块; vi. 掷骰子,n. 骰子; vt. 切成方塊; vi. 擲骰子,"さい,さいころ / さいころ遊び,ばくち / …をばくちで失う / (…をかけて)〈人〉とさいころを振る《+『名』+『for』+『名』(『wh-節』)》 / 〈野菜など〉をさいの目に切る / ばくちをする"
diced,'daɪst,4,17723,v cut into cubes; v play dice,"v. 将…切成小方块, 切成丁( dice的过去式和过去分词 )","v. 將…切成小方塊, 切成丁( dice的過去式和過去分詞 )",
dick,dik,4,10766,n. someone who is a detective,"n. 家伙, 词典, 誓言(书); [医] 二氯乙胂(毒气)","n. 傢伙, 詞典, 誓言(書); [醫] 二氯乙胂(毒氣)","《米俗》デカ,刑事 / 《卑》陰茎"
dictate,'dikteit,3,4933,n. an authoritative rule; n. a guiding principle; v. say out loud for the purpose of recording; v. rule as a dictator,"vi. 听写, 口述, 口授; vt. 口述, 使听写, 命令; n. 命令, 指挥, 指令","vi. 聽寫, 口述, 口授; vt. 口述, 使聽寫, 命令; n. 命令, 指揮, 指令","(人に)〈文章など〉を『書き取らせる』,口述する《+『名』+『to』+『名』》 / …を命じる,命令する,指図する:《『dictate』+『名』+『to』+『名』》…を…に命じる / (人に)書き取らせる,口述する《+『to』+『名』》 / (…に)命令する,指図する《+『to』+『名』》 / (権威ある)命令;(良心などの)命じるところ"
dictator,'dikteitә,3,6740,n. a speaker who dictates to a secretary or a recording machine; n. a ruler who is unconstrained by law,"n. 命令者, 独裁者","n. 命令者, 獨裁者",〈C〉独裁者 / 絶対的権力者
diction,'dikʃәn,4,19662,n the articulation of speech regarded from the point of view of its intelligibility to the audience; n the manner in which something is expressed in words,"n. 措辞, 发音, 用语","n. 措辭, 發音, 用語","言葉遣い,言い回し,語法 / 発声法,話し方"
dictum,'diktәm,4,17196,n an authoritative declaration; n an opinion voiced by a judge on a point of law not directly bearing on the case in question and therefore not binding,"n. 声明, 格言, 法官意见; [法] 宣言, 声明, 法官的意见","n. 宣告, 格言, 法官意見; [法] 宣言, 宣告, 法官的意見","(専門家の)断言,言明 / 金言,格言"
didactic,"di'dæktik(әl), dai-",5,17040,s. instructive (especially excessively),"a. 教训的, 说教的, 教导的, 教诲的; [医] 教导的","a. 教訓的, 說教的, 教導的, 教誨的; [醫] 教導的",教訓的な / 説教好きの
die,dai,1,403,n. a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers; n. a device used for shaping metal; n. a cutting tool that is fitted into a diestock and used for cutting male (external) screw threads on screws or bolts or pipes or rods; v. pass from physical life and lose all bodily attributes and functions necessary to sustain life,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望; vt. 死; n. 骰子, 冲模","vi. 死亡, 消逝, 平息, 熄滅, 漠然, 渴望; vt. 死; n. 骰子, 沖模","〈人・動物が〉『死ぬ』,〈植物が〉『枯れる』 / 《副詞[句]を伴って》〈音・光・風などが〉消えてゆく《+『away』》;〈火・感情などが〉次第に収まる《+『down』》;〈家系・習慣などが〉絶えてなくなる《+『out』》 / 〈機械が〉動かなくなる,止まる / 《話》《進行形で》死ぬほど望む / さい,さいころ / ダイス,雄ねじ切り / (貨幣・メダルなどの)打ち型,打ち抜き型"
diehard,'daihɑ:d,5,0,n one who adheres to traditional views,"n. 顽固分子; [法] 顽固分子, 顽固派, 死不屈从者","n. 頑固分子; [法] 頑固分子, 頑固派, 死不屈從者","頑強に抵抗する人,頑固な保守主義者 / 最後まで後に引かない,あくまで抵抗する"
diesel,'di:zәl,3,6468,n. German engineer (born in France) who invented the diesel engine (1858-1913); n. an internal-combustion engine that burns heavy oil,"n. 内燃机, 柴油机, 柴油","n. 內燃機, 柴油機, 柴油",=diesel engine / ディーゼル機関の
diet,'daiәt,2,2139,"n. a prescribed selection of foods; n. a legislative assembly in certain countries (e.g., Japan); n. the usual food and drink consumed by an organism (person or animal); n. the act of restricting your food intake (or your intake of particular foods)","n. 日常饮食, 议会; vt. 照规定饮食; vi. 忌食","n. 日常飲食, 議會; vt. 照規定飲食; vi. 忌食","(日本・デンマーク・スウェーデンなどの)『議会』,国会 / (日常の)『飲食物』,常食 / (健康・体重調節などのための)『規定食』,制限食 / (健康増進などのために)〈人〉に規定食を取らせる / 規定食を取る,食物を制限する"
dietary,'daiәtәri,4,6366,n. a regulated daily food allowance; a. of or relating to the diet,a. 饮食的; n. 规定食物,a. 飲食的; n. 規定食物,"食事の;規定食の,食養生の / 規定食,特別食"
dieter,'daiәtә,4,20163,n. a person who diets,n. 节食者,n. 節食者,
differ,'difә,2,2990,v. be different,"vi. 不一致, 不同; [机] 差异, 不同","vi. 不一致, 不同; [機] 差異, 不同","『違う』,『異なる』 / 『意見を異にする』"
diffuse,di'fju:z,3,12366,v. move outward; s. spread out; not concentrated in one place; s. lacking conciseness,"v. 散播, 传播; a. 散开的, 弥漫的","v. 散播, 傳播; a. 散開的, 瀰漫的","〈光・熱・液体など〉を散らす,放散する,拡散させる / 〈学問・知識など〉を広める,普及させる / 散る,放散する,拡散する / 広まる,普及する / 広く散った,広がった / 〈文体などが〉締まりのない,散漫な"
dig,dig,1,2460,"n. the site of an archeological exploration; n. a small gouge (as in the cover of a book); n. the act of touching someone suddenly with your finger or elbow; v. turn up, loosen, or remove earth","vt. 挖, 翻土, 发掘; vi. 挖掘; n. 挖掘; [计] 数字, 数位","vt. 挖, 翻土, 發掘; vi. 挖掘; n. 挖掘; [計] 數字, 數位","〈地面・穴など〉を『掘る』 / …を『掘り出す』《+『up』+『名』,+『名』+『up』》 / (…から)…を見つけ出す,探り出す《+『名』+『from』+『名』》 / …を突く;(…に)…を突っ込む《+『名』+『in』(『into』)+『名』》 / 《俗》…を理解する,好む / 『地面を掘る』,掘り返す / 《話》(資料などを)丹念に調べる《+『at』+『名』》 / (…を)小突くこと《+『in』+『名』》 / (…に対する)当てこすり《+『at』+『名』》 / 考古学上の発掘地 / 《複数形で》《英話》下宿"
digest,di'dʒest,2,9447,n. a periodical that summarizes the news; v. convert food into absorbable substances; v. arrange and integrate in the mind; v. put up with something or somebody unpleasant,"n. 文摘; vi. 消化; vt. 消化, 理解; [计] 摘要","n. 文摘; vi. 消化; vt. 消化, 理解; [計] 摘要","〈食物〉を『消化する』,こなす / …をこなして自分のものとする / …を系統的に整理する,要約する / 〈食物が〉『消化される』,こなれる / 『要展』,摘要;要約集"
digger,'digә,4,16976,n. a laborer who digs,n. 挖掘者,n. 挖掘者,"掘る人,坑夫 / 採掘器具"
digging,'digiŋ,4,12994,"n the act of digging; v turn up, loosen, or remove earth; v create by digging; v work hard; v remove, harvest, or recover by digging; v thrust down or into; v remove the inner part or the core of; v poke or thrust abruptly; v get the meaning of something",n. 挖掘,n. 挖掘,"掘ること,採掘,発掘"
digit,'didʒit,5,8519,n. one of the elements that collectively form a system of numeration; n. a finger or toe in human beings or corresponding body part in other vertebrates,"n. 数字, 位数, 指头; [计] 数位; 位","n. 數字, 位數, 指頭; [計] 數位; 位",(手足の)指 / アラビア数字(0から9までの一つ;0を除くこともある)
digital,'didʒitәl,2,2356,a. displaying numbers rather than scale positions; a. relating to or performed with the fingers; a. of a circuit or device that represents magnitudes in digits,"a. 数字显示的, 数字的; n. 数字仪表, 数字式电子表(或时钟); [计] 数字, 数字式","a. 數字顯示的, 數字的; n. 數字儀表, 數字式電子錶(或時鐘); [計] 數字, 數字式","指の / 数字の;計数型の / (タイプライターなどの)鍵(けん),キー"
digitize,'didʒitaiz,4,17645,"v. put into digital form, as for use in a computer","vt. 使成为数字, 使计数化, 使数字化; [计] 数字化","vt. 使成為數字, 使計數化, 使數字化; [計] 數字化",
dignify,'dignifai,4,25877,v. raise the status of,"vt. 增威严, 使高贵, 故作显贵","vt. 增威嚴, 使高貴, 故作顯貴","(…で)…に威厳を添える,品位をもたせる;…にもったいをつける《+『with』+『名』+『by』+do『ing』》"
dignity,'digniti,2,4100,n. the quality of being worthy of esteem or respect; n. formality in bearing and appearance; n. high office or rank or station,"n. 尊严, 高贵; [法] 尊严, 高位, 高贵","n. 尊嚴, 高貴; [法] 尊嚴, 高位, 高貴","〈U〉『尊厳』,威厳,気高さ / 〈U〉品位,気品 / 〈C〉〈U〉高位 / 〈C〉《古》高位の人"
digress,dai'gres,4,24122,"v. lose clarity or turn aside especially from the main subject of attention or course of argument in writing, thinking, or speaking","vi. 走向岔道, 离题, 扯到枝节上","vi. 走向岔道, 離題, 扯到枝節上","(主題から)外れる,脱線する《+『from』+『名』》"
dike,daik,4,17546,v. enclose with a dike,n. 堤防; vt. 筑堤防护,n. 堤防; vt. 築堤防護,〈C〉堤防 / 排水溝 / 岩脈 / 《俗・侮蔑》レズビアン
dilate,dai'leit,4,18343,v. become wider,"vi. 扩大, 详述, 膨胀; vt. 使膨胀","vi. 擴大, 詳述, 膨脹; vt. 使膨脹","…を広げる,膨張させる / 広がる;膨張する / 《文》(…を)詳しく述べる《+『on』(『upon』)+『名』》"
dilatory,'dilәtәri,5,32015,s. wasting time,"a. 拖拉的; [法] 延期的, 拖延的, 慢的","a. 拖拉的; [法] 延期的, 拖延的, 慢的",遅れがちな
dilemma,di'lemә,2,4118,n. state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options,"n. 困境, (进退两难的)窘境","n. 困境, (進退兩難的)窘境","『板ばさみ』,抜きさしならない羽目,窮地 / (論理学で)両刀論法"
diligent,'dilidʒәnt,3,14139,s. quietly and steadily persevering especially in detail or exactness; a. characterized by care and perseverance in carrying out tasks,"a. 勤勉的, 用功的","a. 勤勉的, 用功的","『勤勉な』 / 念入りの,苦心した"
dill,dil,4,15830,n. aromatic Old World herb having aromatic threadlike foliage and seeds used as seasoning; n. aromatic threadlike foliage of the dill plant used as seasoning,"n. 莳萝, 莳萝叶; [医] 莳罗","n. 蒔蘿, 蒔蘿葉; [醫] 蒔羅","イノンド(セリ科の植物で,種子は薬品やピクルスの香料に用いる)"
dilute,dai'lju:t,3,9506,v. lessen the strength or flavor of a solution or mixture,"vt. 冲淡, 稀释; a. 淡的, 稀释的","vt. 沖淡, 稀釋; a. 淡的, 稀釋的",(…で)〈液体〉を薄める《+『名』+『with』+『名』》 / 〈力・効力など〉を弱める / (液体などが)薄い
dilution,"dai'lju:ʃәn, di'l-",4,18805,n. a diluted solution; n. weakening (reducing the concentration) by the addition of water or a thinner,"n. 冲淡, 淡度, 稀度, 稀释物, 冲淡物, 稀释; [计] 稀释度的","n. 沖淡, 淡度, 稀度, 稀釋物, 沖淡物, 稀釋; [計] 稀釋度的","〈U〉(液体などを)薄めること / 〈C〉薄めたもの,希釈液"
dim,dim,3,5733,v. switch (a car's headlights) from a higher to a lower beam; v. become dim or lusterless; v. make dim or lusterless; s. lacking in light; not bright or harsh,"a. 暗淡的, 模糊的; vt. 使暗淡; [计] 数据解释模块","a. 暗淡的, 模糊的; vt. 使暗淡; [計] 資料解釋模組","『薄暗い』,ほの暗い / はっきり見えない(聞こえない,理解できない) / (考え・記憶などが)はっきりしない,ぼんやりした / (色などが)くすんだ,光沢のない / 批判的な,悲観的な / 《話》(人が)ばかな,愚かな / (目が)かすんだ / …を『薄暗くする』,ぼんやりさせる / 『薄暗くなる』,かすかになる"
dime,daim,4,7518,n. a United States coin worth one tenth of a dollar,n. 10分硬币(美、加),n. 10分硬幣(美、加),ダイム(米国およびカナダの10セント銀貨)
diminish,di'miniʃ,3,3958,"v. lessen the authority, dignity, or reputation of","v. (使)减少, (使)变小","v. (使)減少, (使)變小","…を『小さくする』,『減らす』,少なくする / 〈音程〉を半音狭くする / 『小さくなる』,減少する"
dimly,'dimli,4,11736,r. in a dim indistinct manner; r. with a dim light,"adv. 微暗, 朦胧","adv. 微暗, 朦朧",
dimple,'dimpl,5,16600,"n. any slight depression in a surface; n. a small natural hollow in the cheek or chin; v. mark with, or as if with, dimples","n. 酒窝, 涟漪; vt. 使起涟漪","n. 酒窩, 漣漪; vt. 使起漣漪",えくぼ / さざ波 / …にえくぼをつける / …にさざ波を立てる / えくぼができる / さざ波が立つ
din,din,4,13151,v. instill (into a person) by constant repetition,"n. 喧嚣; v. 絮絮不休地说, 喧闹","n. 喧囂; v. 絮絮不休地說, 喧鬧",騒音 / …を騒々しく鳴り響かせる / …をしつこくしゃべる / しつこくしゃべりまくる
dine,dain,2,7360,v. have supper; eat dinner; v. give dinner to; host for dinner,"vi. 用正餐, 进餐; vt. 宴请","vi. 用正餐, 進餐; vt. 宴請",(一日のおもな食事として)正餐(晩餐)をとる
diner,'dainә,3,5956,n. a person eating a meal (especially in a restaurant); n. a restaurant that resembles a dining car,n. 用餐者,n. 用餐者,"食事をする人,正餐(せいさん)客 / 《米》=dining car / (食堂車を固定し,あるいはこれに似せた)簡易食堂"
dingy,'diŋdʒi,4,14979,s thickly covered with ingrained dirt or soot; s (of color) discolored by impurities; not bright and clear; s causing dejection,"a. 暗淡的, 昏暗的, 邋遢的","a. 暗淡的, 昏暗的, 邋遢的","黒ずんだ,くすんだ,薄汚い,陰気な"
dining,'dainiŋ,4,2952,n. the act of eating dinner,"n. 正餐, 宴会","n. 正餐, 宴會",
dinner,'dinә,1,1076,n. the main meal of the day served in the evening or at midday; n. a party of people assembled to have dinner together,"n. 晚餐, 正餐, 宴会","n. 晚餐, 正餐, 宴會","〈C〉〈U〉(1日の食事の中で)『主要な食事』,正餐(せいさん);(現在では,特に)『夕食』,晩餐 / 〈C〉(公式の)晩餐会 / 晩餐(用)の"
dinosaur,'dainәsɒ:,2,5326,n. any of numerous extinct terrestrial reptiles of the Mesozoic era,n. 恐龙,n. 恐龍,恐竜(中生代の巨大な爬虫類(はちゅうるい)動物の総称)
diocesan,dai'ɒsisәn,5,18516,n. a bishop having jurisdiction over a diocese; a. belonging to or governing a diocese,a. 主教管区的; n. 教区主教,a. 主教管區的; n. 教區主教,司教(主教)監督管区(diocese)の
diocese,'daiәsis,3,9791,n. the territorial jurisdiction of a bishop,n. 主教教区,n. 主教教區,司教(主教)監督管区(イングランドでは43の監督管区から成る)
dioxide,dai'ɒksaid,2,5712,n. an oxide containing two atoms of oxygen in the molecule,n. 二氧化物; [医] 二氧化物,n. 二氧化物; [醫] 二氧化物,二酸化物
dioxin,dai'ɔksin,4,18120,n. any of several toxic or carcinogenic hydrocarbons that occur as impurities in herbicides,n. [化]二氧(杂)芑,n. [化]二氧(雜)芑,
